edition,family,group,name,ko,state,source_high_over_low_width,source_high_over_low_height,target_high_over_low_width,target_high_over_low_height,source_scale_deviation,target_scale_deviation,source_scale_outlier_5pct,target_scale_outlier_5pct
base,base_detail,8,enter_castle,입성,6,2.0,2.0,2.0,2.017544,0.0,0.008772,False,False
base,base_detail,9,target,목표,1,2.0,2.0,2.041667,2.052632,0.0,0.026316,False,False
base,base_detail,9,target,목표,2,2.0,2.0,2.041667,2.051948,0.0,0.025974,False,False
base,base_detail,9,target,목표,3,2.0,2.0,2.0,2.038961,0.0,0.019481,False,False
base,base_detail,9,target,목표,4,2.0,2.0,2.0,2.052632,0.0,0.026316,False,False
base,base_detail,9,target,목표,5,2.0,2.0,2.041667,2.051948,0.0,0.025974,False,False
base,base_detail,9,target,목표,6,2.0,2.0,2.027397,2.052632,0.0,0.026316,False,False
base,base_detail,10,storm,강공,1,2.0,2.0,2.027027,2.051948,0.0,0.025974,False,False
base,base_detail,10,storm,강공,2,2.0,2.0,2.013699,2.038462,0.0,0.019231,False,False
base,base_detail,10,storm,강공,3,2.0,2.0,1.986301,2.038462,0.0,0.019231,False,False
base,base_detail,10,storm,강공,4,2.0,2.0,2.027778,2.038961,0.0,0.019481,False,False
base,base_detail,10,storm,강공,5,2.0,2.0,2.013699,2.038462,0.0,0.019231,False,False
base,base_detail,10,storm,강공,6,2.0,2.0,2.013699,2.038961,0.0,0.019481,False,False
base,base_detail,11,encircle,포위,1,2.0,2.0,2.042254,2.039474,0.0,0.021127,False,False
base,base_detail,11,encircle,포위,2,2.0,2.0,2.028169,2.025974,0.0,0.014085,False,False
base,base_detail,11,encircle,포위,3,2.0,2.0,2.0,2.025974,0.0,0.012987,False,False
base,base_detail,11,encircle,포위,4,2.0,2.0,2.057971,2.066667,0.0,0.033333,False,False
base,base_detail,11,encircle,포위,5,2.0,2.0,2.042254,2.025974,0.0,0.021127,False,False
base,base_detail,11,encircle,포위,6,2.0,2.0,2.042857,2.066667,0.0,0.033333,False,False
base,base_detail,12,formation,편제,1,2.0,2.0,1.864865,1.907895,0.0,0.067568,False,True
base,base_detail,12,formation,편제,2,2.0,2.0,2.013514,2.051948,0.0,0.025974,False,False
base,base_detail,12,formation,편제,3,2.0,2.0,2.041096,2.051948,0.0,0.025974,False,False
base,base_detail,12,formation,편제,4,2.0,2.0,2.054054,2.025974,0.0,0.027027,False,False
base,base_detail,12,formation,편제,5,2.0,2.0,2.013514,2.051948,0.0,0.025974,False,False
base,base_detail,12,formation,편제,6,2.0,2.0,2.054054,2.039474,0.0,0.027027,False,False
base,base_detail,13,battle,합전,1,2.0,2.0,2.042254,2.053333,0.0,0.026666,False,False
base,base_detail,13,battle,합전,2,2.0,2.0,2.013889,2.012987,0.0,0.006944,False,False
base,base_detail,13,battle,합전,3,2.0,2.0,2.027778,2.012987,0.0,0.013889,False,False
base,base_detail,13,battle,합전,4,2.0,2.0,2.013889,2.04,0.0,0.02,False,False
base,base_detail,13,battle,합전,5,2.0,2.0,2.028169,2.012987,0.0,0.014085,False,False
base,base_detail,13,battle,합전,6,2.0,2.0,2.013889,2.04,0.0,0.02,False,False
base,base_detail,14,cancel_sortie,출진취소,1,2.0,2.0,2.052632,2.038961,0.0,0.026316,False,False
base,base_detail,14,cancel_sortie,출진취소,2,2.0,2.0,2.064103,2.0,0.0,0.032051,False,False
base,base_detail,14,cancel_sortie,출진취소,3,2.0,2.0,2.064103,2.025974,0.0,0.032051,False,False
base,base_detail,14,cancel_sortie,출진취소,4,2.0,2.0,2.052632,2.039474,0.0,0.026316,False,False
base,base_detail,14,cancel_sortie,출진취소,5,2.0,2.0,2.037975,2.012987,0.0,0.018987,False,False
base,base_detail,14,cancel_sortie,출진취소,6,2.0,2.0,2.065789,2.066667,0.0,0.033333,False,False
base,base_detail,15,disband,해산,1,2.0,2.0,2.0,2.025974,0.0,0.012987,False,False
base,base_detail,15,disband,해산,2,2.0,2.0,2.014925,2.025641,0.0,0.01282,False,False
base,base_detail,15,disband,해산,3,2.0,2.0,2.0,2.051948,0.0,0.025974,False,False
base,base_detail,15,disband,해산,4,2.0,2.0,1.985075,2.025974,0.0,0.012987,False,False
base,base_detail,15,disband,해산,5,2.0,2.0,2.0,2.012821,0.0,0.006411,False,False
base,base_detail,15,disband,해산,6,2.231707,2.0,1.985075,2.025974,0.115854,0.012987,True,False
base,base_detail,16,close,닫기,1,2.0,2.0,2.013889,2.064103,0.0,0.032051,False,False
base,base_detail,16,close,닫기,2,2.0,2.0,2.014085,2.051282,0.0,0.025641,False,False
base,base_detail,16,close,닫기,3,2.0,2.0,2.0,2.038462,0.0,0.019231,False,False
base,base_detail,16,close,닫기,4,2.0,2.0,2.0,2.038462,0.0,0.019231,False,False
base,base_detail,16,close,닫기,5,2.0,2.0,2.028169,2.051282,0.0,0.025641,False,False
base,base_detail,16,close,닫기,6,2.0,2.0,2.028169,2.064935,0.0,0.032468,False,False
base,base_detail,17,edit,편집,1,2.0,2.0,2.013699,2.038961,0.0,0.019481,False,False
base,base_detail,17,edit,편집,2,2.0,2.0,2.055556,2.064935,0.0,0.032468,False,False
base,base_detail,17,edit,편집,3,2.0,2.0,2.041667,2.064935,0.0,0.032468,False,False
base,base_detail,17,edit,편집,4,2.0,2.0,1.986486,2.038961,0.0,0.019481,False,False
base,base_detail,17,edit,편집,5,2.0,2.0,2.041667,2.064935,0.0,0.032468,False,False
base,base_detail,17,edit,편집,6,2.0,2.0,2.013699,2.038961,0.0,0.019481,False,False
base,base_detail,18,release,해제,1,2.0,2.0,2.054795,2.053333,0.0,0.027397,False,False
base,base_detail,18,release,해제,2,2.0,2.0,2.027027,2.052632,0.0,0.026316,False,False
base,base_detail,18,release,해제,3,2.0,2.0,2.054795,2.052632,0.0,0.027397,False,False
base,base_detail,18,release,해제,4,2.0,2.0,2.054795,2.053333,0.0,0.027397,False,False
base,base_detail,18,release,해제,5,2.0,2.0,2.083333,2.065789,0.0,0.041667,False,False
base,base_detail,18,release,해제,6,2.0,2.0,2.027027,2.08,0.0,0.04,False,False
base,base_detail,19,request_reinforcement,원군요청,1,1.989362,2.0,2.064935,2.038961,0.005319,0.032468,False,False
base,base_detail,19,request_reinforcement,원군요청,2,1.989362,2.0,2.050633,2.038462,0.005319,0.025316,False,False
base,base_detail,19,request_reinforcement,원군요청,3,1.989362,2.0,2.064103,2.038462,0.005319,0.032051,False,False
base,base_detail,19,request_reinforcement,원군요청,4,1.989362,2.0,2.066667,2.025974,0.005319,0.033333,False,False
base,base_detail,19,request_reinforcement,원군요청,5,1.989362,2.0,2.037975,2.038462,0.005319,0.019231,False,False
base,base_detail,19,request_reinforcement,원군요청,6,1.989362,2.0,2.067568,2.052632,0.005319,0.033784,False,False
base,base_detail,20,cancel_reinforcement,원군취소,1,1.98913,2.0,2.038961,2.039474,0.005435,0.019737,False,False
base,base_detail,20,cancel_reinforcement,원군취소,2,1.98913,2.0,2.064935,2.052632,0.005435,0.032468,False,False
base,base_detail,20,cancel_reinforcement,원군취소,3,1.98913,2.0,2.038961,2.039474,0.005435,0.019737,False,False
base,base_detail,20,cancel_reinforcement,원군취소,4,1.98913,2.0,2.053333,2.04,0.005435,0.026666,False,False
base,base_detail,20,cancel_reinforcement,원군취소,5,1.98913,2.0,2.038961,2.039474,0.005435,0.019737,False,False
base,base_detail,20,cancel_reinforcement,원군취소,6,1.98913,2.0,2.053333,2.04,0.005435,0.026666,False,False
base,base_detail,21,local_clan_info,국인정보,1,2.0,2.0,2.064103,2.038961,0.0,0.032051,False,False
base,base_detail,21,local_clan_info,국인정보,2,2.0,2.0,2.1,2.064935,0.0,0.05,False,True
base,base_detail,21,local_clan_info,국인정보,3,2.0,2.0,2.0625,2.025641,0.0,0.03125,False,False
base,base_detail,21,local_clan_info,국인정보,4,2.0,2.0,2.052632,2.038961,0.0,0.026316,False,False
base,base_detail,21,local_clan_info,국인정보,5,2.0,2.0,2.037037,2.051948,0.0,0.025974,False,False
base,base_detail,21,local_clan_info,국인정보,6,2.0,2.0,2.064935,2.038961,0.0,0.032468,False,False
base,base_detail,22,placate_local_clan,국인회유,1,1.989247,2.0,2.053333,2.038961,0.005377,0.026666,False,False
base,base_detail,22,placate_local_clan,국인회유,2,1.989247,2.0,2.077922,2.038462,0.005377,0.038961,False,False
base,base_detail,22,placate_local_clan,국인회유,3,1.989247,2.0,2.038961,2.051948,0.005377,0.025974,False,False
base,base_detail,22,placate_local_clan,국인회유,4,1.989247,2.0,2.066667,2.025641,0.005377,0.033333,False,False
base,base_detail,22,placate_local_clan,국인회유,5,1.989247,2.0,2.078947,2.038462,0.005377,0.039473,False,False
base,base_detail,22,placate_local_clan,국인회유,6,1.989247,2.0,2.053333,2.038961,0.005377,0.026666,False,False
base,base_detail,23,absorb_local_clan,국인포섭,1,2.0,2.0,2.026316,2.04,0.0,0.02,False,False
base,base_detail,23,absorb_local_clan,국인포섭,2,2.0,2.0,2.053333,2.038961,0.0,0.026666,False,False
base,base_detail,23,absorb_local_clan,국인포섭,3,2.0,2.0,2.053333,2.038961,0.0,0.026666,False,False
base,base_detail,23,absorb_local_clan,국인포섭,4,2.0,2.0,2.053333,2.053333,0.0,0.026666,False,False
base,base_detail,23,absorb_local_clan,국인포섭,5,2.0,2.0,2.053333,2.038961,0.0,0.026666,False,False
base,base_detail,23,absorb_local_clan,국인포섭,6,2.0,2.0,2.013158,2.012987,0.0,0.006579,False,False
base,base_detail,24,castle_info,성정보,1,2.0,2.0,2.035088,2.016949,0.0,0.017544,False,False
base,base_detail,24,castle_info,성정보,2,2.0,2.0,2.054795,2.051282,0.0,0.027397,False,False
base,base_detail,24,castle_info,성정보,3,2.0,2.0,2.027397,2.038462,0.0,0.019231,False,False
